,id,dc.contributor.author[],dc.date.issued[],dc.description.provenance[en],dc.identifier.uri,dc.title[],dc.title[en_US],MyTitle
953,e1c55aef-bb02-4809-a430-753f069fd7c8,ANSI C57.19.03  : 2005,2005.0,"Made available in DSpace on 2017-02-23T06:00:45Z (GMT). No. of bitstreams: 1
c57.19.03-2005.pdf: 346720 bytes, checksum: 57956c9e98f7bb572f3931688dd5c974 (MD5)
  Previous issue date: 2005||Made available in DSpace on 2021-05-05T08:52:47Z (GMT). No. of bitstreams: 1
c57.19.03-2005.pdf: 346720 bytes, checksum: 57956c9e98f7bb572f3931688dd5c974 (MD5)
  Previous issue date: 2005",http://localhost:8080/xmlui/handle/108/124325,"Standard Requirements, Terminology, and Test Code for Bushings for DC Applications - Corrigendum 1",,"Standard Requirements, Terminology, and Test Code for Bushings for DC Applications - Corrigendum 1"
954,e1dc6638-ec88-476e-9019-09156ee74356,ANSI C62.62  : 2000,2000.0,"Made available in DSpace on 2017-02-23T06:00:57Z (GMT). No. of bitstreams: 1
c62.62-2000.pdf: 416997 bytes, checksum: 03e483f90c8988c086abfb2f6ce05919 (MD5)
  Previous issue date: 2000||Made available in DSpace on 2021-05-05T08:41:28Z (GMT). No. of bitstreams: 1
c62.62-2000.pdf: 416997 bytes, checksum: 03e483f90c8988c086abfb2f6ce05919 (MD5)
  Previous issue date: 2000",http://localhost:8080/xmlui/handle/108/124437,Standard test specifications for surge-protective devices follow-voltage AC power circuits,,Standard test specifications for surge-protective devices follow-voltage AC power circuits
955,e2467cb2-bca5-4238-86aa-768bec17e0c5,IEEE Std 1900.4  : 2009,2009.0,"Made available in DSpace on 2017-02-23T06:01:30Z (GMT). No. of bitstreams: 1
1900.4-2009.pdf: 1287927 bytes, checksum: 72f7be2786fc50e62a8acc0fcc30ff5a (MD5)
  Previous issue date: 2009||Made available in DSpace on 2021-05-05T08:46:05Z (GMT). No. of bitstreams: 1
1900.4-2009.pdf: 1287927 bytes, checksum: 72f7be2786fc50e62a8acc0fcc30ff5a (MD5)
  Previous issue date: 2009",http://localhost:8080/xmlui/handle/108/124745,Standard for architectural building blocks enabling network-device distributed decision making for optimized radio resource usage in heterogeneous wireless access networks,,Standard for architectural building blocks enabling network-device distributed decision making for optimized radio resource usage in heterogeneous wireless access networks
956,e25209e3-de42-444d-ae84-c1c0d08933a3,IEEE Std 1647  : 2008,2008.0,"Made available in DSpace on 2017-02-23T06:01:23Z (GMT). No. of bitstreams: 1
1647-2008.pdf: 4270388 bytes, checksum: 4688052171de7ed3e58cc53aa38f4b56 (MD5)
  Previous issue date: 2008||Made available in DSpace on 2021-05-05T08:44:59Z (GMT). No. of bitstreams: 1
1647-2008.pdf: 4270388 bytes, checksum: 4688052171de7ed3e58cc53aa38f4b56 (MD5)
  Previous issue date: 2008",http://localhost:8080/xmlui/handle/108/124683,Standard for the Functional Verification Language,,Standard for the Functional Verification Language
957,e26fdfb7-b6bb-4b93-a221-471fd853da43,ANSI C57.119  : 2001,2001.0,"Made available in DSpace on 2017-02-23T06:00:52Z (GMT). No. of bitstreams: 1
c57.119-2001.pdf: 426170 bytes, checksum: 1399d5b0b61d067c88d03bd0171123d8 (MD5)
  Previous issue date: 2001||Made available in DSpace on 2021-05-05T08:41:00Z (GMT). No. of bitstreams: 1
c57.119-2001.pdf: 426170 bytes, checksum: 1399d5b0b61d067c88d03bd0171123d8 (MD5)
  Previous issue date: 2001",http://localhost:8080/xmlui/handle/108/124386,Recommended practice for performing temperature rise tests on oil-immersed power transformers at loads beyond nameplate ratings,,Recommended practice for performing temperature rise tests on oil-immersed power transformers at loads beyond nameplate ratings
958,e27cb5f2-c5b1-49d4-b8fb-54477ee714e2,IEEE Std 2001  : 2002||ISO/IEC 23026,2002.0,"Made available in DSpace on 2017-02-23T06:01:23Z (GMT). No. of bitstreams: 1
2001-2002.pdf: 1191416 bytes, checksum: a6038348eacdd540614848e94d043d48 (MD5)
  Previous issue date: 2002||Made available in DSpace on 2021-05-05T08:44:55Z (GMT). No. of bitstreams: 1
2001-2002.pdf: 1191416 bytes, checksum: a6038348eacdd540614848e94d043d48 (MD5)
  Previous issue date: 2002",http://localhost:8080/xmlui/handle/108/124680,"Software Engineering - Recommended Practice for the Internet - Web Site Engineering, Web Site Management, and Web Site Life Cycle",,"Software Engineering - Recommended Practice for the Internet - Web Site Engineering, Web Site Management, and Web Site Life Cycle"
959,e303a173-bf9b-4824-bff4-40ae0d160ae3,ANSI C57.120  : 1991,1991.0,"Made available in DSpace on 2017-02-23T06:01:00Z (GMT). No. of bitstreams: 1
c57.120-1991.pdf: 1613252 bytes, checksum: d72e78d0285e4701bee5e11f69a9e4eb (MD5)
  Previous issue date: 1991||Made available in DSpace on 2021-05-05T08:41:48Z (GMT). No. of bitstreams: 1
c57.120-1991.pdf: 1613252 bytes, checksum: d72e78d0285e4701bee5e11f69a9e4eb (MD5)
  Previous issue date: 1991",http://localhost:8080/xmlui/handle/108/124466,Loss evaluation guide for power transformers and reactors,,Loss evaluation guide for power transformers and reactors
960,e303b84a-8473-47ec-a1dc-206f24534f23,ieee std 434  : 2006,2006.0,"Made available in DSpace on 2017-02-23T06:06:45Z (GMT). No. of bitstreams: 1
434-2006.pdf: 651502 bytes, checksum: 483b7d726f76dc447a6dfd7a753f8f46 (MD5)
  Previous issue date: 2006||Made available in DSpace on 2021-05-05T08:49:13Z (GMT). No. of bitstreams: 1
434-2006.pdf: 651502 bytes, checksum: 483b7d726f76dc447a6dfd7a753f8f46 (MD5)
  Previous issue date: 2006",http://localhost:8080/xmlui/handle/108/124889,Guide for functional evaluation of insulation systems for AC electric machines rated 2300 V and above,,Guide for functional evaluation of insulation systems for AC electric machines rated 2300 V and above
961,e30a0ed7-3b40-42c6-bece-2fd4b2c548ce,IEEE Std 802.15.1  : 2005,2005.0,"Made available in DSpace on 2017-02-23T06:07:11Z (GMT). No. of bitstreams: 1
802.15.1-2005.pdf: 7231517 bytes, checksum: f7e51d311051908eff2e13856b338c6b (MD5)
  Previous issue date: 2005||Made available in DSpace on 2021-05-05T08:54:31Z (GMT). No. of bitstreams: 1
802.15.1-2005.pdf: 7231517 bytes, checksum: f7e51d311051908eff2e13856b338c6b (MD5)
  Previous issue date: 2005",http://localhost:8080/xmlui/handle/108/125122,Standard for Information technology - Telecommunications and information exchange between systems - Local and metropolitan area networks - Specific requirements. - Part 15.1: Wireless,,Standard for Information technology - Telecommunications and information exchange between systems - Local and metropolitan area networks - Specific requirements. - Part 15.1: Wireless
962,e35f083b-df01-4d5b-ba1d-b11f5f308e05,IEEE Std C37.121  : 1989,1989.0,"Made available in DSpace on 2017-02-23T06:01:07Z (GMT). No. of bitstreams: 1
c37.121-1989.pdf: 315773 bytes, checksum: 158ffc8fc1eb468385fa358a349af0de (MD5)
  Previous issue date: 1989||Made available in DSpace on 2021-05-05T08:42:32Z (GMT). No. of bitstreams: 1
c37.121-1989.pdf: 315773 bytes, checksum: 158ffc8fc1eb468385fa358a349af0de (MD5)
  Previous issue date: 1989",http://localhost:8080/xmlui/handle/108/124525,American National Standard for Switchgear- Unit Substations- Requirements,,American National Standard for Switchgear- Unit Substations- Requirements
963,e36168d9-1326-4e06-bd3b-e0eb2ca337bc,IEEE Std 802.1F  : 1993,1993.0,"Made available in DSpace on 2017-02-23T06:07:06Z (GMT). No. of bitstreams: 1
802.1f-1993.pdf: 196109 bytes, checksum: 16bc05a19859aba74616e5f142a00c93 (MD5)
  Previous issue date: 1993||Made available in DSpace on 2021-05-05T08:52:41Z (GMT). No. of bitstreams: 1
802.1f-1993.pdf: 196109 bytes, checksum: 16bc05a19859aba74616e5f142a00c93 (MD5)
  Previous issue date: 1993",http://localhost:8080/xmlui/handle/108/125079,Common Definitions and Procedures for IEEE 802 Management Information,,Common Definitions and Procedures for IEEE 802 Management Information
964,e38375f7-9ed5-4f66-897c-890af737b289,ANSI C57.109  : 1993,1993.0,"Made available in DSpace on 2017-02-23T06:00:45Z (GMT). No. of bitstreams: 1
c57.109-1993.pdf: 337853 bytes, checksum: baadbd05f23ae4eab29bd6b959d71b5a (MD5)
  Previous issue date: 1993||Made available in DSpace on 2021-05-05T08:50:01Z (GMT). No. of bitstreams: 1
c57.109-1993.pdf: 337853 bytes, checksum: baadbd05f23ae4eab29bd6b959d71b5a (MD5)
  Previous issue date: 1993",http://localhost:8080/xmlui/handle/108/124331,Guide for liquid-immersed transformer through-fault-current duration,,Guide for liquid-immersed transformer through-fault-current duration
965,e3c846f3-36d2-46a7-bb50-99f2daf46b3e,IEEE PC37.60 D6 Jun 2009,2009.0,"Made available in DSpace on 2017-02-23T06:01:16Z (GMT). No. of bitstreams: 1
pc37.60 d6 jun 2009.pdf: 1171412 bytes, checksum: 77ad3059f4555bceb82f9a7cc0c75966 (MD5)
  Previous issue date: 2009||Made available in DSpace on 2021-05-05T08:43:49Z (GMT). No. of bitstreams: 1
pc37.60 d6 jun 2009.pdf: 1171412 bytes, checksum: 77ad3059f4555bceb82f9a7cc0c75966 (MD5)
  Previous issue date: 2009",http://localhost:8080/xmlui/handle/108/124615,Draft Standard for Automatic Circuit Reclosers and Fault Interrupters for Alternating Current Systems Up to 38 kV,,Draft Standard for Automatic Circuit Reclosers and Fault Interrupters for Alternating Current Systems Up to 38 kV
966,e41dffc7-0b1b-4d06-b974-9de2db61e74b,ANSI/IEEE Std 81  : 1983,1983.0,"Made available in DSpace on 2017-02-23T06:07:11Z (GMT). No. of bitstreams: 1
ansiieee std 81-1983.pdf: 877037 bytes, checksum: 673589f0ffd0c2840599115a0431c740 (MD5)
  Previous issue date: 1983||Made available in DSpace on 2021-05-05T08:54:27Z (GMT). No. of bitstreams: 1
ansiieee std 81-1983.pdf: 877037 bytes, checksum: 673589f0ffd0c2840599115a0431c740 (MD5)
  Previous issue date: 1983",http://localhost:8080/xmlui/handle/108/125120,"Guide for Measuring Earth Resistivity, Ground Impedance, and Earth Surface Potentials of a Ground System",,"Guide for Measuring Earth Resistivity, Ground Impedance, and Earth Surface Potentials of a Ground System"
967,e44834ee-f099-4039-81ef-99c68e97f505,IEEE Std C37.17  : 1997,1997.0,"Made available in DSpace on 2017-02-23T06:01:09Z (GMT). No. of bitstreams: 1
c37.17-1997.pdf: 62823 bytes, checksum: a65a777e0ad399c18eb3e1a3f2c02737 (MD5)
  Previous issue date: 1997||Made available in DSpace on 2021-05-05T08:42:49Z (GMT). No. of bitstreams: 1
c37.17-1997.pdf: 62823 bytes, checksum: a65a777e0ad399c18eb3e1a3f2c02737 (MD5)
  Previous issue date: 1997",http://localhost:8080/xmlui/handle/108/124547,American National Standard for Trip Devices for AC and General Purpose DC Low Voltage Power Circuit Breakers,,American National Standard for Trip Devices for AC and General Purpose DC Low Voltage Power Circuit Breakers
968,e483e886-4acc-4688-98d7-56e8c763c019,IEEE Std 637  : 1985,1985.0,"Made available in DSpace on 2017-02-23T06:06:55Z (GMT). No. of bitstreams: 1
637-1985.pdf: 584164 bytes, checksum: a19105c09aae44722726a1b85aec4e0d (MD5)
  Previous issue date: 1985||Made available in DSpace on 2021-05-05T08:51:30Z (GMT). No. of bitstreams: 1
637-1985.pdf: 584164 bytes, checksum: a19105c09aae44722726a1b85aec4e0d (MD5)
  Previous issue date: 1985",http://localhost:8080/xmlui/handle/108/124976,Guide for the reclamation of insulating oil and criteria for its use,,Guide for the reclamation of insulating oil and criteria for its use
969,e4c37429-12fe-48ed-b81b-eacf1ffa5c2f,ANSI C57.104  : 2008,2008.0,"Made available in DSpace on 2017-02-23T06:00:45Z (GMT). No. of bitstreams: 1
c57.104-2008.pdf: 1395120 bytes, checksum: 512595492821234f81d6a85a944477c8 (MD5)
  Previous issue date: 2008||Made available in DSpace on 2021-05-05T08:54:44Z (GMT). No. of bitstreams: 1
c57.104-2008.pdf: 1395120 bytes, checksum: 512595492821234f81d6a85a944477c8 (MD5)
  Previous issue date: 2008",http://localhost:8080/xmlui/handle/108/124329,Guide for the interpretation of gases generated in oil-immersed transformers,,Guide for the interpretation of gases generated in oil-immersed transformers
