id,collection,dc.contributor.author,dc.contributor.author[],dc.date.accessioned,dc.date.accessioned[],dc.date.available,dc.date.available[],dc.date.issued,dc.date.issued[],dc.description.provenance[en],dc.identifier.uri,dc.language.iso[],dc.publisher[],dc.subject[],dc.title[],dc.title[en_US],dc.type[]
"d4843b0e-3e82-432e-a798-22cda5be222f","108/33",,"WO2003107036A2||QUINTELL OF OHIO, LLC","2021-05-18T09:04:13Z","2016-12-02T09:57:44Z","2021-05-18T09:04:13Z","2016-12-02T09:57:44Z",,"2003-12-24","Made available in DSpace on 2016-12-02T09:57:44Z (GMT). No. of bitstreams: 1
wo2003107036a2.pdf: 1473077 bytes, checksum: 5d44c4d88aa6ad0792961ca90198ba67 (MD5)
  Previous issue date: 2003-12-24||Made available in DSpace on 2021-05-18T09:04:13Z (GMT). No. of bitstreams: 1
wo2003107036a2.pdf: 1473077 bytes, checksum: 5d44c4d88aa6ad0792961ca90198ba67 (MD5)
  Previous issue date: 2003-12-24","http://localhost:8080/xmlui/handle/108/21804",,,,"METHOD AND APPARATUS FOR DETECTION OF RADIOACTIVE MATERIAL",,
"d4dd6ea9-9acd-4c49-8030-d86cbd7c08f0","108/33",,"US6492937B1||ITT Manufacturing Enterprises, Inc.","2021-05-18T09:05:06Z","2016-12-02T09:57:51Z","2021-05-18T09:05:06Z","2016-12-02T09:57:51Z",,"2002-12-10","Made available in DSpace on 2016-12-02T09:57:51Z (GMT). No. of bitstreams: 1
us6492937b1.pdf: 774020 bytes, checksum: 7d9e03f0133eca242c17c22d0c6ae7df (MD5)
  Previous issue date: 2002-12-10||Made available in DSpace on 2021-05-18T09:05:06Z (GMT). No. of bitstreams: 1
us6492937b1.pdf: 774020 bytes, checksum: 7d9e03f0133eca242c17c22d0c6ae7df (MD5)
  Previous issue date: 2002-12-10","http://localhost:8080/xmlui/handle/108/21897",,,,"High precision range measurement technique",,
"d528b0a6-87ee-4b1c-99d7-867b8e5528f6","108/33",,"US365631(A)||None","2021-05-18T09:04:01Z","2016-12-02T09:58:48Z","2021-05-18T09:04:01Z","2016-12-02T09:58:48Z",,"1887","Made available in DSpace on 2016-12-02T09:58:48Z (GMT). No. of bitstreams: 1
us365631(a).pdf: 303609 bytes, checksum: 36b0571456029425533411c65965cd7e (MD5)
  Previous issue date: null||Made available in DSpace on 2021-05-18T09:04:01Z (GMT). No. of bitstreams: 1
us365631(a).pdf: 303609 bytes, checksum: 36b0571456029425533411c65965cd7e (MD5)
  Previous issue date: 1887","http://localhost:8080/xmlui/handle/108/22714",,,,"CIGAR MOLD (TIRC 8383)",,
"d5467b0a-cedb-4dd3-b215-8a0060647319","108/33",,"US3264217(A)||None","2021-05-18T09:20:57Z","2016-12-02T09:58:47Z","2021-05-18T09:20:57Z","2016-12-02T09:58:47Z",,"1966-08-02","Made available in DSpace on 2016-12-02T09:58:47Z (GMT). No. of bitstreams: 1
us3264217(a).pdf: 665385 bytes, checksum: f66fc88168e072d261ba4eb04f79208b (MD5)
  Previous issue date: 1966-08-02||Made available in DSpace on 2021-05-18T09:20:57Z (GMT). No. of bitstreams: 1
us3264217(a).pdf: 665385 bytes, checksum: f66fc88168e072d261ba4eb04f79208b (MD5)
  Previous issue date: 1966-08-02","http://localhost:8080/xmlui/handle/108/22695",,,,"FERROELECTRIC CERAMIC COMPOSITIONS (TIRC 8029)",,
"d58166bd-1864-4bee-ab46-e7d5be7ceee6","108/33",,"US3569747(A)||Kistler Instrument Corporation","2021-05-18T09:08:22Z","2016-12-02T09:57:31Z","2021-05-18T09:08:22Z","2016-12-02T09:57:31Z",,"1971-03-09","Made available in DSpace on 2016-12-02T09:57:31Z (GMT). No. of bitstreams: 1
us3569747(a).pdf: 994029 bytes, checksum: a7f04644bda431d3d13445c7f3e1f3d9 (MD5)
  Previous issue date: 1971-03-09||Made available in DSpace on 2021-05-18T09:08:22Z (GMT). No. of bitstreams: 1
us3569747(a).pdf: 994029 bytes, checksum: a7f04644bda431d3d13445c7f3e1f3d9 (MD5)
  Previous issue date: 1971-03-09","http://localhost:8080/xmlui/handle/108/21695",,,,"PIEZOELECTRIC TRANSDUCER (TIRC 11874)",,
"d5e11b67-f16d-492d-87ec-3366d19395aa","108/33",,"US5067405A||NotAvailable","2021-05-18T09:08:45Z","2016-12-02T09:58:07Z","2021-05-18T09:08:45Z","2016-12-02T09:58:07Z",,"1991-11-26","Made available in DSpace on 2016-12-02T09:58:07Z (GMT). No. of bitstreams: 1
us5067405a.pdf: 259175 bytes, checksum: b1048af3d12b3a3b1f09fa2a338467a3 (MD5)
  Previous issue date: 1991-11-26||Made available in DSpace on 2021-05-18T09:08:45Z (GMT). No. of bitstreams: 1
us5067405a.pdf: 259175 bytes, checksum: b1048af3d12b3a3b1f09fa2a338467a3 (MD5)
  Previous issue date: 1991-11-26","http://localhost:8080/xmlui/handle/108/22123",,,,"Safing and arming device",,
"d606304f-fef4-4a38-b167-97e757e67f72","108/33",,"US3453456(A)||None","2021-05-18T09:15:04Z","2016-12-02T09:58:29Z","2021-05-18T09:15:04Z","2016-12-02T09:58:29Z",,"1969-07-01","Made available in DSpace on 2016-12-02T09:58:29Z (GMT). No. of bitstreams: 1
us3453456(a).pdf: 329064 bytes, checksum: 3ce5422bd0f3192d677aa14baa7ff166 (MD5)
  Previous issue date: 1969-07-01||Made available in DSpace on 2021-05-18T09:15:04Z (GMT). No. of bitstreams: 1
us3453456(a).pdf: 329064 bytes, checksum: 3ce5422bd0f3192d677aa14baa7ff166 (MD5)
  Previous issue date: 1969-07-01","http://localhost:8080/xmlui/handle/108/22439",,,,"ULTRASONIC TRANSDUCER (TIRC 9131)",,
"d6145fbc-206b-428d-8a14-3e1d6235be46","108/33",,"WO2005003676A2||ELTA SYSTEMS LTD. | RAFAEL ARMAMENT DEVELOPMENT AU","2021-05-18T09:07:20Z","2016-12-02T09:58:02Z","2021-05-18T09:07:20Z","2016-12-02T09:58:02Z",,"2005-01-13","Made available in DSpace on 2016-12-02T09:58:02Z (GMT). No. of bitstreams: 1
wo2005003676a2.pdf: 1980237 bytes, checksum: ff440824c68bfcd8e30df8e8ca237a9b (MD5)
  Previous issue date: 2005-01-13||Made available in DSpace on 2021-05-18T09:07:20Z (GMT). No. of bitstreams: 1
wo2005003676a2.pdf: 1980237 bytes, checksum: ff440824c68bfcd8e30df8e8ca237a9b (MD5)
  Previous issue date: 2005-01-13","http://localhost:8080/xmlui/handle/108/22047",,,,"METHOD AND SYSTEM FOR DESTROYING ROCKETS",,
"d616e64f-8e45-46fe-a28e-b41a3bfa5e56","108/33",,"GB1127023(A)||LEPETIT SPA","2021-05-18T09:16:32Z","2016-12-02T09:58:31Z","2021-05-18T09:16:32Z","2016-12-02T09:58:31Z",,"1968-09-11","Made available in DSpace on 2016-12-02T09:58:31Z (GMT). No. of bitstreams: 1
gb1127023(a).pdf: 155308 bytes, checksum: 37bb51ad759c08717e88c306d95014be (MD5)
  Previous issue date: 1968-09-11||Made available in DSpace on 2021-05-18T09:16:32Z (GMT). No. of bitstreams: 1
gb1127023(a).pdf: 155308 bytes, checksum: 37bb51ad759c08717e88c306d95014be (MD5)
  Previous issue date: 1968-09-11","http://localhost:8080/xmlui/handle/108/22470",,,,"Process for preparing pyridoxine and derivatives thereof (TIRC 11881)",,
"d685bf39-3aff-41e6-af68-c4aba4c3ee7c","108/33",,"WO0214780A1||QINETIQ LIMITED","2021-05-18T09:11:38Z","2016-12-02T09:58:18Z","2021-05-18T09:11:38Z","2016-12-02T09:58:18Z",,"2002-02-21","Made available in DSpace on 2016-12-02T09:58:18Z (GMT). No. of bitstreams: 1
wo0214780a1.pdf: 1001178 bytes, checksum: 638bf0a099ec60a6ff7e8a727a6d8880 (MD5)
  Previous issue date: 2002-02-21||Made available in DSpace on 2021-05-18T09:11:38Z (GMT). No. of bitstreams: 1
wo0214780a1.pdf: 1001178 bytes, checksum: 638bf0a099ec60a6ff7e8a727a6d8880 (MD5)
  Previous issue date: 2002-02-21","http://localhost:8080/xmlui/handle/108/22274",,,,"PROJECTILE WITH DRAG BRAKE",,
