,id,dc.contributor.author[],dc.date.issued[],dc.description.provenance[en],dc.identifier.uri,dc.title[],dc.title[en_US],MyTitle
229,38d811af-d523-4f82-8602-e92f6c27bd14,ARDE SPEC 104,1971.0,"Made available in DSpace on 2016-11-24T06:07:56Z (GMT). No. of bitstreams: 1
ss00145.pdf: 4290441 bytes, checksum: 15bc8dd9d7190eb0e24e0653c53209fb (MD5)
  Previous issue date: 1971||Made available in DSpace on 2021-06-08T06:50:20Z (GMT). No. of bitstreams: 1
ss00145.pdf: 4290441 bytes, checksum: 15bc8dd9d7190eb0e24e0653c53209fb (MD5)
  Previous issue date: 1971",http://localhost:8080/xmlui/handle/108/343,"SIMULATOR 5.5"" GUN FIRE EMPTY",,"SIMULATOR 5.5"" GUN FIRE EMPTY"
230,391628b9-2f10-411c-903d-2a6e7c2463ff,ARDE SPEC 327,1984.0,"Made available in DSpace on 2016-11-24T06:07:23Z (GMT). No. of bitstreams: 1
ss00334.pdf: 1276176 bytes, checksum: a2e597f1a93a06a549766861bf64073d (MD5)
  Previous issue date: 1984||Made available in DSpace on 2021-06-08T06:48:18Z (GMT). No. of bitstreams: 1
ss00334.pdf: 1276176 bytes, checksum: a2e597f1a93a06a549766861bf64073d (MD5)
  Previous issue date: 1984",http://localhost:8080/xmlui/handle/108/138,76.2MM PREFRAGMENTED HE SHELL EMPTY,,76.2MM PREFRAGMENTED HE SHELL EMPTY
231,3943ff6a-6b1e-42c9-8569-c91fa86e10c0,ARDE PS 119,,"Made available in DSpace on 2016-11-24T06:08:18Z (GMT). No. of bitstreams: 1
ss00443.pdf: 1207810 bytes, checksum: a5c9770b3a5229707e866c3efb2c8760 (MD5)||Made available in DSpace on 2021-06-08T06:51:53Z (GMT). No. of bitstreams: 1
ss00443.pdf: 1207810 bytes, checksum: a5c9770b3a5229707e866c3efb2c8760 (MD5)",http://localhost:8080/xmlui/handle/108/490,CARTRIDGE ELECTRIC FIRE EXTINGUISHER FOR PACKET CARIBOU & DAKOTA AIRCRAFT FILLED,,CARTRIDGE ELECTRIC FIRE EXTINGUISHER FOR PACKET CARIBOU & DAKOTA AIRCRAFT FILLED
232,396f77db-1cd6-4ed2-96b5-40396c7fc959,ARDE PS 138,,"Made available in DSpace on 2016-11-24T06:07:32Z (GMT). No. of bitstreams: 1
ss00461.pdf: 14802566 bytes, checksum: 0ff172029ab8f12b7b0573ba32d830d1 (MD5)||Made available in DSpace on 2021-06-08T06:48:04Z (GMT). No. of bitstreams: 1
ss00461.pdf: 14802566 bytes, checksum: 0ff172029ab8f12b7b0573ba32d830d1 (MD5)",http://localhost:8080/xmlui/handle/108/188,FLIGHT PROOF OF ROCKET 122MM HE FRAGMENTATION,,FLIGHT PROOF OF ROCKET 122MM HE FRAGMENTATION
234,7b17f4d5-eaf3-4a84-998a-958eb2d77765,ARDE PS 138,,"Made available in DSpace on 2016-11-24T06:07:43Z (GMT). No. of bitstreams: 1
ss00461.pdf: 14802566 bytes, checksum: 0ff172029ab8f12b7b0573ba32d830d1 (MD5)||Made available in DSpace on 2021-06-08T06:49:31Z (GMT). No. of bitstreams: 1
ss00461.pdf: 14802566 bytes, checksum: 0ff172029ab8f12b7b0573ba32d830d1 (MD5)",http://localhost:8080/xmlui/handle/108/259,FLIGHT PROOF OF ROCKET 122MM HE FRAGMENTATION,,FLIGHT PROOF OF ROCKET 122MM HE FRAGMENTATION
236,39bb3fdb-d4ea-46e5-9903-6935d2573d9a,ARDE PS 196,1989.0,"Made available in DSpace on 2016-11-24T06:08:19Z (GMT). No. of bitstreams: 1
ss00071.pdf: 11424645 bytes, checksum: 4843110d1a81eba5520faa85f94d5936 (MD5)
  Previous issue date: 1989||Made available in DSpace on 2021-06-08T06:52:00Z (GMT). No. of bitstreams: 1
ss00071.pdf: 11424645 bytes, checksum: 4843110d1a81eba5520faa85f94d5936 (MD5)
  Previous issue date: 1989",http://localhost:8080/xmlui/handle/108/492,PROVISIONAL PROOF SCHEDULE FOR PREFRAGMENTED HE SHELL 76.2MM MK II EMPTY,,PROVISIONAL PROOF SCHEDULE FOR PREFRAGMENTED HE SHELL 76.2MM MK II EMPTY
238,ff2edbca-48cc-4afc-8cea-c21131dd5df9,ARDE PS 196,1989.0,"Made available in DSpace on 2016-11-24T06:07:33Z (GMT). No. of bitstreams: 1
ss00071.pdf: 11424645 bytes, checksum: 4843110d1a81eba5520faa85f94d5936 (MD5)
  Previous issue date: 1989||Made available in DSpace on 2021-06-08T06:48:37Z (GMT). No. of bitstreams: 1
ss00071.pdf: 11424645 bytes, checksum: 4843110d1a81eba5520faa85f94d5936 (MD5)
  Previous issue date: 1989",http://localhost:8080/xmlui/handle/108/199,PROVISIONAL PROOF SCHEDULE FOR PREFRAGMENTED HE SHELL 76.2MM MK II EMPTY,,PROVISIONAL PROOF SCHEDULE FOR PREFRAGMENTED HE SHELL 76.2MM MK II EMPTY
240,39ca4d75-ffec-4252-b2b8-71352328ae86,ARDE SPEC 303,,"Made available in DSpace on 2016-11-24T06:07:33Z (GMT). No. of bitstreams: 1
ss00321.pdf: 3090926 bytes, checksum: a1424753a86e72f2b4ee9f51778fa924 (MD5)||Made available in DSpace on 2021-06-08T06:48:24Z (GMT). No. of bitstreams: 1
ss00321.pdf: 3090926 bytes, checksum: a1424753a86e72f2b4ee9f51778fa924 (MD5)",http://localhost:8080/xmlui/handle/108/201,TRAINING CARTRIDGE FOR 81MM AND 120MM MORTAR FILLED,,TRAINING CARTRIDGE FOR 81MM AND 120MM MORTAR FILLED
241,39d7688d-f66d-4811-8fa1-4b0516055d1e,ARDE PS 175  &  ARDE PS 176,,"Made available in DSpace on 2016-11-24T06:07:35Z (GMT). No. of bitstreams: 1
ss00483.pdf: 6208313 bytes, checksum: b2746930dc78b7f7caee20bdff506ac8 (MD5)||Made available in DSpace on 2021-06-08T06:48:40Z (GMT). No. of bitstreams: 1
ss00483.pdf: 6208313 bytes, checksum: b2746930dc78b7f7caee20bdff506ac8 (MD5)",http://localhost:8080/xmlui/handle/108/207,CARTRIDGE R-4 PYROCUTTER EMPTY AND FILLED,,CARTRIDGE R-4 PYROCUTTER EMPTY AND FILLED
242,3a45f72a-5c9e-4142-b69a-c16c0a767a5b,ARDE SPEC 144,,"Made available in DSpace on 2016-11-24T06:07:11Z (GMT). No. of bitstreams: 1
ss00176.pdf: 994683 bytes, checksum: 1e5e49561e8b1ae2c3b7b0678aa69931 (MD5)||Made available in DSpace on 2021-06-08T06:52:48Z (GMT). No. of bitstreams: 1
ss00176.pdf: 994683 bytes, checksum: 1e5e49561e8b1ae2c3b7b0678aa69931 (MD5)",http://localhost:8080/xmlui/handle/108/61,CARTRIDGE SEAT EJECTION DROGUE NO.2 MK.2 FOR HF-24 & HJT-16 AIRCRAFT INDIGENOUS FILLED,,CARTRIDGE SEAT EJECTION DROGUE NO.2 MK.2 FOR HF-24 & HJT-16 AIRCRAFT INDIGENOUS FILLED
