id,collection,dc.contributor.author[],dc.date.issued[],dc.description.abstract[en_US],dc.description[],dc.identifier.citation[],dc.identifier.citation[en_US],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[],dc.language.iso[en_US],dc.publisher[],dc.publisher[en_US],dc.subject[],dc.subject[en_US],dc.title.alternative[en_US],dc.title[],dc.title[en_US],dc.type[],dc.type[en_US]
3568,123456789/2749,"Mallikarjun, Y",2012,,,"The Hindu, 21 February 2012",,http://hdl.handle.net/108/84533,http://128.9.32.51:8080/jspui/handle/108/84533,en_US,,,,Seeker||PGMs||RCI||DRDO,,,DRDO scientists to develop advanced seekers for tactical missiles,,Article,
3556,123456789/2749,"Shukla, Ajai",2012-07-05,,,"Bussiness Standerds, Delhi, 5 July 2012",,http://hdl.handle.net/108/84544,http://128.9.32.51:8080/jspui/handle/108/84544,en,,,,FICV||Combact Vehicle,,,"The Future Infantry Combat Vehicle (FICV): Private sector awaits MoD decision on Rs 50,000 crore contract",,Article,
3562,123456789/2749,"Shukla, Ajai",2012,,,"Business Standard, 3 Jan 2012, New Delhi",,http://hdl.handle.net/108/84538,http://128.9.32.51:8080/jspui/handle/108/84538,,,,,MBT Arjun||FMBT||DRDO||CVRDE,,,FMBT Part II: Indiaâ€™s future main battle tank now grapples with a weight issue,,Article,
3542,123456789/2749,"Shukla, Ajai",2011-01-10,,"The Business Standard, Hyderabad, 10 Jan 2011",,,http://hdl.handle.net/108/84556,http://128.9.32.51:8080/jspui/handle/108/84556,en,,Business Standard,,DPP||2011,,,"Q&A: M M Pallam Raju, Minister of State for Defence",,Article,
3534,123456789/2749,"Shukla, Ajay",2015-07,,,,,http://hdl.handle.net/108/84563,http://128.9.32.51:8080/jspui/handle/108/84563,,,,,Delivery is the key||IDGMP,,,We want to standardize our weapon programmes: DRDO Chief Dr Christopher,,,
3583,123456789/2749,NASA,2018-09-17,,,,,http://hdl.handle.net/108/154304,http://128.9.32.51:8080/jspui/handle/108/154304,,en_US,,The Indian Express,,Laser satelite||ICESat-2||NASA,,,NASA launches laser satellite to track ice loss,,Article
3550,123456789/2749,"Shukla, Ajai",2010-06-01,,"Business Standard, New Delhi, 01 June 2010",,,http://hdl.handle.net/108/84548,http://128.9.32.51:8080/jspui/handle/108/84548,en,,,,Defence policy||DRDO,,,Fundamentally defensive,,Article,
3591,123456789/2749,"Shukla, Ajay",2018-04-13,,,,,http://hdl.handle.net/108/153368,http://128.9.32.51:8080/jspui/handle/108/153368,,,,Bussiness Standards,,HAL||Super Hornet fighters||MRCBF,,,"Boeing, HAL,Mahindra tie up to build super hornet  fighters in India",,
3535,123456789/2749,"Shukla, Ajai",2013-09,,,"The Business Standard, 21 September 2013",,http://hdl.handle.net/108/84562,http://128.9.32.51:8080/jspui/handle/108/84562,en,,Business Standard,,DRDO||India||Defence Policy||Missile Programme||DRDO Projects,,,India's Missile Story,,Article,
3543,123456789/2749,"Shukla, Ajai",2012-07-05,,,"Bussiness Standerds, Delhi, 5 July 2012",,http://hdl.handle.net/108/84555,http://128.9.32.51:8080/jspui/handle/108/84555,en,,,,Offset policy||Arms Vendors||Defence policy,,,"MoD flouts offset policy, foreign arms vendors benefit",,Article,
3557,123456789/2749,"Shukla, Ajai",2013-11,,,,,http://hdl.handle.net/108/84543,http://128.9.32.51:8080/jspui/handle/108/84543,en_US,,The Business Standard,,India||DRDO||Defence Industry||Defence Policy,,,Signs of change in Indiaâ€™s Defence Industrial Base,,Article,
3579,123456789/2749,Janes,2019-05-31,,,,ATAGS,http://hdl.handle.net/108/155519,http://128.9.32.51:8080/jspui/handle/108/155519,,,,Janes,,ATAGS||Howitzer||Advanced Towed Artillery Gun System (ATAGS)||Armament Research & Development Establishment,,,India to conclude user trials of  first locally developed howitzer,,Article
3574,123456789/2749,Navbharat,2019-07-21,,,,,http://hdl.handle.net/108/155710,http://128.9.32.51:8080/jspui/handle/108/155710,,,,Navbharat,,Data||Digital India,,,Data ke sailab me doobta Digital India,,Article
3563,123456789/2749,Times Of India,2020-01-13,,,,,http://hdl.handle.net/108/156383,http://128.9.32.51:8080/jspui/handle/108/156383,,en_US,,The Times Of India,,Smart Bomb||Futuristic Weapon||guided artillery ammunition,,,"Smart bombs, futuristic . combat vehicle in pipeline: OFB head",,
3536,123456789/2749,"Shukla, Ajai",2013-09,,,,,http://hdl.handle.net/108/84561,http://128.9.32.51:8080/jspui/handle/108/84561,en,,"The Business Standard, 17 September 2013",,Javelin missile||Joint Excercise||Anti tank missile,,,US offers to co-develop new Javelin missile with India,,Article,
3551,123456789/2749,Task and Purpose,2020-10-15,,,,,http://hdl.handle.net/108/173116,http://128.9.32.51:8080/jspui/handle/108/173116,,,,Source : https://taskandpurpose.com/military-tech/army-barrett-mrad-advanced-sniper-rifle-rfi,,Multi-Role Adaptive Rifle (MRAD)||MRAD||Manager Soldier Lethality,,,The Army is officially doubling down on a brand new sniper rifle,,
3544,123456789/2749,"Shukla, Ajai",2010-08-08,,"Business Standard, New Delhi, 08 August 2010",,,http://hdl.handle.net/108/84554,http://128.9.32.51:8080/jspui/handle/108/84554,en,,,,FMBT||DPP,,,Indian industry at landmark defence tender,,Article,
3569,123456789/2749,"Shukla, Ajai",2013-08,,,,,http://hdl.handle.net/108/84532,http://128.9.32.51:8080/jspui/handle/108/84532,en,,"The  Business Standard, 4 August 2013",,ULH||Ultra Light Howitzer||Artillery weapon||155mm||BAE system,,,"Amid procurement gloom, M-777 gun offers army hope",,Article,
3607,123456789/2749,News Service,2017-12-06,,,,"PTI, 5 Dec 2017",http://hdl.handle.net/108/151801,http://128.9.32.51:8080/jspui/handle/108/151801,,,,,,RAC||DoPT||DRDO,,,B P Sharma appointed chairman of RAC in DRDO,,
3537,123456789/2749,,2011-11-30,,,,,http://hdl.handle.net/108/84560,http://128.9.32.51:8080/jspui/handle/108/84560,,,The Statesman,,INSAS rifle||Assault rifle,,,Army issues global tender for new assault rifles,,,
3558,123456789/2749,"Unithan, Sandeep",,,,,,http://hdl.handle.net/108/84542,http://128.9.32.51:8080/jspui/handle/108/84542,,,,,Assault rifle||INSAS||MCAR||Multi-Caliber Assault Rifles||Defence procurement,,,Why Indian Army has only itself to blame for assault rifle fiasco,,,
3588,123456789/2749,"Shukla, Ajay",2018-04-11,,,,,http://hdl.handle.net/108/153370,http://128.9.32.51:8080/jspui/handle/108/153370,,,,Bussiness Standards,,Defexpo 2018,,,"Nirmala to ''open'' Defexpo on Wednesday,Modi to ''inagurate'' on thursday",,
3545,123456789/2749,"Shukla, Ajai",2010-08-10,,"Business Standard, New Delhi, 10 August 2010",,,http://hdl.handle.net/108/84553,http://128.9.32.51:8080/jspui/handle/108/84553,en,,,,FMBT||Armour vehicle,,,You got it! Now deserve it,,Article,
3552,123456789/2749,The Hindu,2020-01-13,,,,,http://hdl.handle.net/108/156384,http://128.9.32.51:8080/jspui/handle/108/156384,,,,The Hindu,,Light Combat Aircraft||Tejas,,,LCA Navy variant successfully. lands on INS Vikramaditya,,
3538,123456789/2749,,2011-03-13,,,"Punjab Keshari, 13 March 2011",,http://hdl.handle.net/108/84559,http://128.9.32.51:8080/jspui/handle/108/84559,en,,,,Arjun tank||Armed forces||India||DRDO,,,Arjun Tank saamil hua 75 armed regiment main,,Article,
3600,123456789/2749,The Hindu,2020-09-17,,,,,http://hdl.handle.net/108/173113,http://128.9.32.51:8080/jspui/handle/108/173113,,,,The Hindu,,Advanced Towed Array Gun System (ATAGS),,,Indigenous heavy artillery gun accident report in 10 days,,
3564,123456789/2749,The Hindu,2015-01-06,,,"The Hindu(2015). Dr VK Saraswat, former DRDO chief, appointed to NITI Aayog",,http://hdl.handle.net/108/84537,http://128.9.32.51:8080/jspui/handle/108/84537,,,,,,,,"Dr VK Saraswat, former DRDO chief, appointed to NITI Aayog",,Article,
3546,123456789/2749,"Shukla, Ajai",2010-08-10,,"Business Standard, New Delhi, 10 August 2010",,,http://hdl.handle.net/108/84552,http://128.9.32.51:8080/jspui/handle/108/84552,en,,,,FMBT||Armour Vehicle,,,DRDO to develop army's next-generation tank,,Article,
3559,123456789/2749,"Shukla, Ajai",2015,,,"The Business Standard, 12 February 2015",,http://hdl.handle.net/108/84541,http://128.9.32.51:8080/jspui/handle/108/84541,en,,,,Defence Mordnisation||Defence Industry||Battlefield Management System||BMS||Make Indian,,,"L&T and BEL consortia set to get Rs 40,000 crore project to develop â€œdigital soldier""",,Article,
3570,123456789/2749,"Sukumar, Arun Mohan",2020-01-01,"Why, then, have most Indians not heard ofNICNET? Why did this futuristic network become a foot note in India's governance story? The answer is, alas, all too predictable-politics. Politics has singularly shaped the trajectory of technological advancement of India since Independence-and if the past is indeed a prologue, this coming decade will be no different.",,,,http://hdl.handle.net/108/156382,http://128.9.32.51:8080/jspui/handle/108/156382,,,,India Today,,Big Data||NICNET||Data||VSNL,,,SOLID STATE TECHNOLOGY,,Article
