id,collection,dc.contributor.author[],dc.date.issued[],dc.description.abstract[en_US],dc.description[],dc.identifier.citation[],dc.identifier.citation[en_US],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[],dc.language.iso[en_US],dc.publisher[],dc.publisher[en_US],dc.subject[],dc.subject[en_US],dc.title.alternative[en_US],dc.title[],dc.title[en_US],dc.type[],dc.type[en_US]
3613,123456789/2749,"Pandita, Naveen",2017-12-04,,,,"The Hindu,04 Dec 2017",http://hdl.handle.net/108/151796,http://128.9.32.51:8080/jspui/handle/108/151796,,,,,,LAKSHYA||Dovnier 228||SAR||SHBO||DRDO,,,AIR ARM OF INDIAN NAVY; Indigenous Effort,,
3608,123456789/2749,"shukla, Ajai",2017-12-06,,,,"Business Standard, 1 Dec 2017",http://hdl.handle.net/108/151800,http://128.9.32.51:8080/jspui/handle/108/151800,,,,,,Battlefield Management System||MANET||SDR||GIS||Blue force tracking||Tata Power||L & T||BEL||Rolta India Ltd||DPrB,,,"Army, MoD look to shut down ""high-tech soldier"" programme",,
3602,123456789/2749,"Pandit, Rajat",2018-01-19,,,,,http://hdl.handle.net/108/152186,http://128.9.32.51:8080/jspui/handle/108/152186,,en_US,,The Times of India,,ICBM||AGNI-5||SFC||DRDO||MIRVs,,,Entire China Could Soon be within India's N-strike Zone,,Article
3610,123456789/2749,News Service,2017-12-06,,,,"The Hindu,06 Dec 2017",http://hdl.handle.net/108/151798,http://128.9.32.51:8080/jspui/handle/108/151798,,,,,,Akash||Supersonic||Surface to Air||UAV||Banshee,,,Akash test-fired successfully,,
3615,123456789/2749,News Service,2017-12-04,,,,"The Times of India, 04 Dec 2017",http://hdl.handle.net/108/151794,http://128.9.32.51:8080/jspui/handle/108/151794,,,,,,ICBM||IRBM||MRBM||SRBM||AGNI-III||Ballistic missile||RS-20V||Surface to surface||Air to surface,,,The ABC of missile race,,
3617,123456789/2749,"Dighe, Sandip",2017-11-27,,,,"The Times of India, 24 nov 2017",http://hdl.handle.net/108/151700,http://128.9.32.51:8080/jspui/handle/108/151700,,,,,,HEMRL||Solid Propellant booster||BrahMos||Supersonic Cruise||Missile Ramjet engine||DRDO,,,HEMRL builds indigenous booster for BrahMos missile,,
3612,123456789/2749,News Service,2017-12-05,,,,"Navbharat, 05 Dec 2017",http://hdl.handle.net/108/151797,http://128.9.32.51:8080/jspui/handle/108/151797,,,,,,Ministry of Defence||Make In India||DRDO||AAKASH||Anti Tank Guided Missile,,,Raksha Mantralaya Ne bachaye 1 Lakh Crore,,
3620,123456789/2749,"Peri, Dinakar",2017-11-23,,,,"The Hindu,23 Nov 2017",http://hdl.handle.net/108/151653,http://128.9.32.51:8080/jspui/handle/108/151653,,,,,,BrahMos||Supersonic missile||DRDO||SU-30 mk I aircraft||Air-to-surface cruise missile,,,"In a first, air-launched BrahMos missile test-fired",,
3619,123456789/2749,"Singh, Sushant",2017-11-20,,,,"The Indian Express,20 Nov 2017",http://hdl.handle.net/108/151654,http://128.9.32.51:8080/jspui/handle/108/151654,,,,,,ATGM||SPIKE missile||Anti tank gun missile||DRDO,,,"MoD Scraps $500 - m Israeli missile deal, wants DRDO to make in India",,
3614,123456789/2749,"Singh, Manpreet",2017-12-04,,,,"The Hindu,04 Dec 2017",http://hdl.handle.net/108/151795,http://128.9.32.51:8080/jspui/handle/108/151795,,,,,,Indian Navy||Territorial water||LIMO,,,Indian Navy: A Multi-Dimensional Multi-Faceted Silent Force,,
